iter	Passed	Remaining
847	11538	2068
848	11553	2054
849	11568	2041
850	11584	2028
851	11598	2014
852	11612	2001
853	11626	1987
854	11641	1974
855	11656	1960
856	11672	1947
857	11686	1934
858	11699	1920
859	11713	1906
860	11726	1893
861	11739	1879
862	11753	1865
863	11767	1852
864	11780	1838
865	11793	1824
866	11805	1810
867	11817	1797
868	11831	1783
869	11844	1769
870	11858	1756
871	11873	1742
872	11886	1729
873	11899	1715
874	11911	1701
875	11924	1687
876	11936	1674
877	11949	1660
878	11961	1646
879	11975	1633
880	11987	1619
881	12000	1605
882	12013	1591
883	12027	1578
884	12040	1564
885	12052	1550
886	12065	1537
887	12079	1523
888	12091	1509
889	12105	1496
890	12118	1482
891	12131	1468
892	12143	1455
893	12157	1441
894	12169	1427
895	12182	1414
896	12195	1400
897	12208	1386
898	12221	1372
899	12235	1359
900	12250	1346
901	12262	1332
902	12274	1318
903	12288	1304
904	12300	1291
905	12314	1277
906	12326	1263
907	12341	1250
908	12357	1237
909	12371	1223
910	12385	1210
911	12398	1196
912	12411	1182
913	12426	1169
914	12440	1155
915	12455	1142
916	12470	1128
917	12486	1115
918	12501	1101
919	12516	1088
920	12530	1074
921	12544	1061
922	12557	1047
923	12572	1034
924	12588	1020
925	12604	1007
926	12618	993
927	12632	980
928	12644	966
929	12659	952
930	12673	939
931	12686	925
932	12700	912
933	12714	898
934	12729	884
935	12741	871
936	12754	857
937	12768	843
938	12782	830
939	12797	816
940	12813	803
941	12829	789
942	12842	776
943	12858	762
944	12872	749
945	12887	735
946	12902	722
947	12914	708
948	12930	694
949	12944	681
950	12959	667
951	12973	654
952	12988	640
953	13001	626
954	13013	613
955	13027	599
956	13041	585
957	13054	572
958	13066	558
959	13080	545
960	13093	531
961	13105	517
962	13117	504
963	13131	490
964	13143	476
965	13156	463
966	13169	449
967	13181	435
968	13194	422
969	13207	408
970	13222	394
971	13235	381
972	13248	367
973	13261	354
974	13275	340
975	13287	326
976	13300	313
977	13315	299
978	13330	285
979	13344	272
980	13358	258
981	13373	245
982	13385	231
983	13399	217
984	13413	204
985	13427	190
986	13443	177
987	13457	163
988	13471	149
989	13486	136
990	13500	122
991	13512	108
992	13529	95
993	13545	81
994	13558	68
995	13572	54
996	13585	40
997	13598	27
998	13612	13
999	13626	0
